Date,Price,Open,High,Low,Vol.,Change %,return
13-Feb-17,318.1,309.9,319.7,309.9,363.34K,2.68%,0.026791478
14-Feb-17,319.8,319.9,320.4,317.1,478.28K,0.53%,0.005344231
15-Feb-17,318.2,320,320.5,317,519.19K,-0.50%,-0.005003127
16-Feb-17,319.9,318,321,317.8,455.74K,0.53%,0.005342552
19-Feb-17,319.7,320,320.2,319,227.54K,-0.06%,-0.000625195
20-Feb-17,319.3,318.8,320.2,318.4,378.71K,-0.13%,-0.001251173
23-Feb-17,315.2,317.7,319.3,308.2,332.72K,-1.28%,-0.012840589
26-Feb-17,313.1,315.2,315.2,312.6,281.07K,-0.67%,-0.006662437
27-Feb-17,311.4,315.1,315.1,310,247.29K,-0.54%,-0.005429575
28-Feb-17,309,308.2,310.2,307.9,309.17K,-0.77%,-0.007707129
1-Mar-17,309.4,309.2,312,308.6,110.52K,0.13%,0.001294498
2-Mar-17,310.4,310,311,309,119.22K,0.32%,0.003232062
5-Mar-17,311.1,311.9,311.9,310.3,52.65K,0.23%,0.002255155
6-Mar-17,311.4,309.5,311.7,309,159.90K,0.10%,0.00096432
7-Mar-17,314.5,310.6,314.9,310.6,335.94K,1.00%,0.009955042
8-Mar-17,316.9,313.1,318,313.1,332.12K,0.76%,0.007631161
9-Mar-17,317.8,316.9,318.9,316.9,353.18K,0.28%,0.002840013
12-Mar-17,316.9,318.7,318.7,316.3,207.50K,-0.28%,-0.00283197
13-Mar-17,316.9,318.4,318.4,313.6,100.11K,0.00%,0
14-Mar-17,317.4,317.9,317.9,314.2,111.07K,0.16%,0.001577785
15-Mar-17,317.3,317.8,317.8,313.2,113.76K,-0.03%,-0.00031506
16-Mar-17,316.8,315.2,317.1,315.1,98.79K,-0.16%,-0.001575796
19-Mar-17,317.3,317,318.2,315.6,151.38K,0.16%,0.001578283
20-Mar-17,317.2,317,317.8,316.7,98.54K,-0.03%,-0.000315159
21-Mar-17,318,316,318.3,315.5,332.24K,0.25%,0.002522068
22-Mar-17,317.4,314,318.5,314,126.12K,-0.19%,-0.001886792
23-Mar-17,317.4,317,317.7,316,128.15K,0.00%,0
27-Mar-17,317.4,316.1,317.5,315.7,249.93K,0.00%,0
28-Mar-17,319.2,316.6,319.9,316.6,261.85K,0.57%,0.005671078
29-Mar-17,329.9,319.4,330.5,319.2,511.36K,3.35%,0.033521303
30-Mar-17,332.1,330,334.5,330,298.13K,0.67%,0.006668687
2-Apr-17,338.3,332.2,339.8,331.1,375.87K,1.87%,0.018669076
3-Apr-17,347.7,338.3,350,338.3,554.93K,2.78%,0.027785989
4-Apr-17,348.1,349.9,352.9,346.4,762.38K,0.12%,0.001150417
5-Apr-17,345.6,348,348,343.1,255.32K,-0.72%,-0.007181844
6-Apr-17,342.9,346.5,346.9,342,165.68K,-0.78%,-0.0078125
9-Apr-17,344.1,345,346.5,342.3,160.53K,0.35%,0.003499563
10-Apr-17,343.8,342.1,344.9,342.1,104.92K,-0.09%,-0.00087184
11-Apr-17,343.2,344.5,345.5,342.6,83.43K,-0.17%,-0.001745201
12-Apr-17,342.5,343,344,336.2,135.14K,-0.20%,-0.002039627
13-Apr-17,338.6,342,342,338,30.30K,-1.14%,-0.011386861
16-Apr-17,337.1,340,340.9,336.7,147.79K,-0.44%,-0.004430006
17-Apr-17,335.4,337,338,332.1,105.84K,-0.50%,-0.005043014
18-Apr-17,334.7,335,336,331,101.11K,-0.21%,-0.00208706
19-Apr-17,335.3,333,336,328.1,139.14K,0.18%,0.00179265
20-Apr-17,334.4,336.9,336.9,333.1,64.59K,-0.27%,-0.002684163
23-Apr-17,338.4,338,342.8,336.5,256.56K,1.20%,0.011961722
24-Apr-17,339.8,339.9,341.9,337.8,304.73K,0.41%,0.004137116
25-Apr-17,338.9,340,340,338.2,109.32K,-0.26%,-0.002648617
26-Apr-17,336.7,338,339.5,334.5,247.05K,-0.65%,-0.00649159
27-Apr-17,337.3,339.9,341.8,336.1,84.92K,0.18%,0.001782002
30-Apr-17,337.6,337.1,339,337,71.72K,0.09%,0.000889416
2-May-17,338.4,337.9,340.4,337,104.94K,0.24%,0.002369668
3-May-17,337.7,338,339.5,336.6,157.00K,-0.21%,-0.002068558
4-May-17,339.7,337,340.4,337,136.82K,0.59%,0.005922416
7-May-17,340,340,341.2,339.7,156.88K,0.09%,0.000883132
8-May-17,339.7,340,340.5,339,115.14K,-0.09%,-0.000882353
9-May-17,338.2,339.5,339.5,337.2,57.18K,-0.44%,-0.004415661
11-May-17,336.7,338,339,335.9,155.56K,-0.44%,-0.004435245
14-May-17,336,338.8,338.9,335,121.97K,-0.21%,-0.002079002
