Date,Price,Open,High,Low,Vol.,Change %
4-Oct-17,79.09,79.27,79.78,79.07,6.17M,-0.16%
5-Oct-17,79.41,79.17,79.81,79.08,5.14M,0.40%
6-Oct-17,79,78.78,79.17,78.25,6.25M,-0.52%
9-Oct-17,80.53,79.5,81.38,79.4,13.49M,1.94%
10-Oct-17,84.13,82.68,84.88,82.61,25.12M,4.47%
11-Oct-17,85.73,84.58,86.29,84.1,18.56M,1.90%
12-Oct-17,86.1,85.7,86.37,85.06,12.88M,0.43%
13-Oct-17,86.62,86.24,86.95,86.24,9.39M,0.60%
16-Oct-17,85.74,86.58,86.62,85.02,9.30M,-1.02%
17-Oct-17,85.98,85.5,86.36,85.32,5.85M,0.28%
18-Oct-17,86.22,86.15,86.37,86.01,5.47M,0.28%
19-Oct-17,86.4,86.15,86.66,85.77,7.03M,0.21%
20-Oct-17,87.44,86.6,87.45,86.28,7.62M,1.20%
23-Oct-17,88.65,87.34,88.92,87.26,10.59M,1.38%
24-Oct-17,87.98,88.69,88.8,87.91,7.70M,-0.76%
25-Oct-17,88.48,87.85,88.6,87.43,6.41M,0.57%
26-Oct-17,88.62,88.66,89.11,88.02,6.48M,0.16%
27-Oct-17,88.17,88.14,88.39,87.15,6.62M,-0.51%
30-Oct-17,86.95,87.94,87.95,86.39,7.05M,-1.38%
31-Oct-17,87.31,86.86,87.46,86.6,6.01M,0.41%
1-Nov-17,87.94,87.07,88.39,87,6.18M,0.72%
2-Nov-17,88.8,88.28,89.17,87.8,5.18M,0.98%
3-Nov-17,89.68,89.02,89.88,88.76,6.51M,0.99%
6-Nov-17,88.7,89.42,89.68,88.68,5.26M,-1.09%
7-Nov-17,88.95,88.87,89.06,88.31,5.35M,0.28%
8-Nov-17,90.26,89.11,90.42,89.1,6.77M,1.47%
9-Nov-17,90.3,89.94,90.57,89.35,6.90M,0.04%
10-Nov-17,90.92,90.24,91.69,90.2,7.65M,0.69%
13-Nov-17,90.99,91.04,91.98,90.87,8.49M,0.08%
14-Nov-17,91.09,90.7,91.2,90.18,9.83M,0.11%
15-Nov-17,89.83,90.34,90.85,89.65,8.43M,-1.38%
16-Nov-17,99.62,95.12,99.68,94.72,38.12M,10.90%
17-Nov-17,97.47,99.24,100.13,96.58,23.58M,-2.16%
20-Nov-17,97.48,96.44,97.64,95.76,16.39M,0.01%
21-Nov-17,96.52,97.74,97.92,96.32,12.75M,-0.98%
22-Nov-17,96.41,96.65,96.81,96.11,8.92M,-0.11%
24-Nov-17,96.62,96.87,97.23,96.53,4.50M,0.22%
27-Nov-17,96.62,96.85,97.65,96.3,8.90M,0.00%
28-Nov-17,96.77,96.59,96.89,95.82,8.71M,0.16%
29-Nov-17,97.56,97.22,98.26,96.88,11.42M,0.82%
30-Nov-17,97.23,98.09,98.44,96.51,12.85M,-0.34%
1-Dec-17,97.35,97.61,97.71,96.23,8.30M,0.12%
4-Dec-17,97.01,97.73,97.96,96.67,8.96M,-0.35%
5-Dec-17,97.83,97,97.94,96.92,9.01M,0.85%
6-Dec-17,97.28,97.99,98.14,97.24,7.14M,-0.56%
7-Dec-17,96.78,97.06,97.58,96.65,7.50M,-0.51%
8-Dec-17,96.55,96.67,96.7,96.14,5.82M,-0.24%
11-Dec-17,96.93,96.44,97.27,96.29,8.93M,0.39%
12-Dec-17,96.7,96.85,97.24,96.6,7.81M,-0.24%
13-Dec-17,97.76,96.66,97.91,96.55,7.88M,1.10%
14-Dec-17,97.13,98,98.57,97.1,9.39M,-0.64%
15-Dec-17,97.11,97.71,98.49,96.91,16.14M,-0.02%
18-Dec-17,97.9,97.38,98.17,97.36,7.96M,0.81%
19-Dec-17,98.8,99.91,99.91,98.29,12.01M,0.92%
20-Dec-17,98.75,99.45,99.65,98.45,10.73M,-0.05%
21-Dec-17,98.06,99,99.33,97.98,7.37M,-0.70%
22-Dec-17,98.21,98.29,98.42,97.68,5.48M,0.15%
26-Dec-17,99.16,98.35,99.44,98.35,4.30M,0.97%
27-Dec-17,99.26,99.56,99.6,98.83,5.14M,0.10%
28-Dec-17,99.4,99.52,99.62,99.12,9.76M,0.14%
29-Dec-17,98.75,99.4,99.69,98.75,7.14M,-0.65%
