Date,Price,Open,High,Low,Vol.,Change %,return
16-Mar-17,220.84,222.79,222.79,218.97,563.33K,-0.69%,-0.006925083
19-Mar-17,220.76,220.19,221.16,219.86,142.28K,-0.04%,-0.000362253
20-Mar-17,220.11,221,221,219.38,240.99K,-0.29%,-0.002944374
21-Mar-17,220.19,220.03,220.59,219.38,460.41K,0.04%,0.000363455
22-Mar-17,220.03,220.19,220.35,219.38,291.62K,-0.07%,-0.000726645
23-Mar-17,220.76,220.19,221,219.38,315.46K,0.33%,0.003317729
27-Mar-17,220.35,221,221.49,219.94,285.07K,-0.19%,-0.001857221
28-Mar-17,221,220.03,221.16,220.03,332.97K,0.29%,0.002949853
29-Mar-17,221.81,221,222.22,221,578.47K,0.37%,0.003665158
30-Mar-17,225.79,221.65,226.77,221.65,919.57K,1.79%,0.017943285
2-Apr-17,227.74,225.88,228.15,225.31,844.14K,0.86%,0.008636344
3-Apr-17,235.46,228.31,235.63,228.15,1.40M,3.39%,0.033898305
4-Apr-17,235.95,235.63,237.66,234.98,1.03M,0.21%,0.002081033
5-Apr-17,232.13,235.63,235.63,229.53,929.84K,-1.62%,-0.016189871
6-Apr-17,233.11,234,234.33,231.56,481.92K,0.42%,0.004221772
9-Apr-17,233.35,232.7,233.59,231.81,344.52K,0.10%,0.001029557
10-Apr-17,233.19,232.62,233.92,231.08,277.44K,-0.07%,-0.000685665
11-Apr-17,232.62,230.83,233.35,230.83,175.97K,-0.24%,-0.002444359
12-Apr-17,231.97,233.19,233.27,231.64,179.12K,-0.28%,-0.002794257
13-Apr-17,229.78,231.73,232.21,229.29,358.54K,-0.94%,-0.009440876
16-Apr-17,227.83,229.29,229.94,227.5,317.68K,-0.85%,-0.008486378
17-Apr-17,228.39,227.5,228.88,225.88,507.78K,0.25%,0.002457973
18-Apr-17,227.42,227.5,228.48,225.96,443.69K,-0.42%,-0.004247121
19-Apr-17,227.26,228.72,228.72,226.12,278.37K,-0.07%,-0.000703544
20-Apr-17,227.83,228.15,228.23,226.85,306.66K,0.25%,0.00250814
23-Apr-17,227.74,228.31,228.31,226.77,316.09K,-0.04%,-0.000395031
24-Apr-17,227.01,227.18,228.07,226.04,271.46K,-0.32%,-0.00320541
25-Apr-17,227.34,227.5,229.53,226.53,297.22K,0.15%,0.00145368
26-Apr-17,227.74,227.26,228.72,226.69,418.76K,0.18%,0.001759479
27-Apr-17,231.4,227.5,231.73,227.5,463.97K,1.61%,0.016070958
30-Apr-17,230.51,230.75,230.75,228.64,85.14K,-0.38%,-0.003846154
2-May-17,234.33,231.56,234.57,230.99,678.60K,1.66%,0.016571949
3-May-17,234.08,233.19,234.41,232.38,282.52K,-0.11%,-0.001066872
4-May-17,232.13,233.43,234.33,230.91,151.00K,-0.83%,-0.008330485
7-May-17,231.73,232.38,233.35,231.48,153.94K,-0.17%,-0.001723172
8-May-17,231.16,230.83,231.73,230.83,187.91K,-0.25%,-0.002459759
9-May-17,231.08,231.16,231.56,230.59,213.20K,-0.03%,-0.000346081
11-May-17,230.91,230.83,231.24,230.43,186.35K,-0.07%,-0.000735676
14-May-17,231.24,230.59,231.97,230.59,182.41K,0.14%,0.001429128
15-May-17,230.02,231.24,231.56,229.61,222.52K,-0.53%,-0.005275904
16-May-17,229.61,229.94,230.59,229.13,216.59K,-0.18%,-0.001782454
17-May-17,229.86,229.53,230.67,229.29,193.23K,0.11%,0.001088803
18-May-17,231.08,229.53,231.56,229.53,197.14K,0.53%,0.005307579
21-May-17,229.94,231.24,231.24,229.61,130.36K,-0.49%,-0.004933356
22-May-17,230.18,229.94,230.51,229.61,175.36K,0.10%,0.001043751
23-May-17,229.86,230.18,230.34,229.53,291.64K,-0.14%,-0.001390216
24-May-17,229.69,230.67,230.75,229.13,171.13K,-0.07%,-0.000739581
25-May-17,229.69,229.61,230.51,229.45,318.35K,0.00%,0
28-May-17,228.23,229.94,230.26,227.74,194.38K,-0.64%,-0.006356393
29-May-17,228.23,227.83,228.56,227.74,421.59K,0.00%,0
30-May-17,228.23,228.31,228.72,227.91,250.61K,0.00%,0
31-May-17,229.13,227.99,229.45,227.91,365.00K,0.39%,0.00394339
1-Jun-17,230.83,228.31,234,228.31,319.28K,0.74%,0.007419369
4-Jun-17,231.73,234,234,230.02,220.36K,0.39%,0.003898973
5-Jun-17,232.7,231.24,232.78,230.83,581.94K,0.42%,0.004185906
6-Jun-17,232.46,232.38,232.7,231.97,470.12K,-0.10%,-0.001031371
7-Jun-17,232.38,232.54,232.7,231.48,229.10K,-0.03%,-0.000344145
8-Jun-17,231.64,232.38,232.38,231.24,344.10K,-0.32%,-0.003184439
11-Jun-17,231.4,232.78,232.78,230.51,564.77K,-0.10%,-0.00103609
12-Jun-17,231.32,231.16,231.56,230.67,381.42K,-0.03%,-0.000345722
13-Jun-17,231.24,231.56,231.73,230.59,292.68K,-0.03%,-0.000345841
14-Jun-17,231.08,231.24,231.56,230.67,337.98K,-0.07%,-0.000691922
