Date,Price,Open,High,Low,Vol.,Change %,return
1-Apr-19,97.82,97.97,98.36,97.56,8.51M,0.30%,0.002973444
2-Apr-19,96.94,97.76,98.31,96.9,6.27M,-0.90%,-0.008996115
3-Apr-19,97.19,97.12,97.4,96.79,5.69M,0.26%,0.002578915
4-Apr-19,98.11,97.25,98.28,97.24,4.03M,0.95%,0.009465994
5-Apr-19,98.83,98.25,99.2,98.16,4.66M,0.73%,0.007338701
8-Apr-19,99.23,98.45,99.25,98.26,5.42M,0.40%,0.004047354
9-Apr-19,98.69,98.8,99.23,98.15,4.37M,-0.54%,-0.005441903
10-Apr-19,99.6,98.51,99.72,98.5,4.09M,0.92%,0.009220792
11-Apr-19,100.8,99.7,100.83,99.47,5.61M,1.20%,0.012048193
12-Apr-19,101.56,101,102.02,101,5.16M,0.75%,0.007539683
15-Apr-19,102.43,101.3,102.91,101.26,5.11M,0.86%,0.008566365
16-Apr-19,102.93,102.89,103.39,102.54,4.83M,0.49%,0.004881382
17-Apr-19,103.16,103,103.4,102.41,3.73M,0.22%,0.002234528
18-Apr-19,103.18,103.11,103.8,102.89,3.73M,0.02%,0.000193874
22-Apr-19,102.37,102.78,103.54,102.17,5.08M,-0.79%,-0.007850359
23-Apr-19,103.07,102.53,103.29,101.94,5.05M,0.68%,0.006837941
24-Apr-19,103.53,103.14,103.85,103.09,4.70M,0.45%,0.004462986
25-Apr-19,103.52,103.24,104.14,102.83,3.96M,-0.01%,-9.65904E-05
26-Apr-19,101.53,100.45,102.34,99.66,8.11M,-1.92%,-0.019223338
29-Apr-19,101.56,101.88,102,100.78,6.38M,0.03%,0.000295479
30-Apr-19,102.84,101.77,102.92,101.45,6.13M,1.26%,0.012603387
1-May-19,101.36,102.77,102.81,101.28,5.34M,-1.44%,-0.014391287
2-May-19,101.15,101.43,102.06,100.24,5.01M,-0.21%,-0.002071823
3-May-19,102.08,102.32,102.75,101.8,5.32M,0.92%,0.009194266
6-May-19,102.46,100.75,102.55,100.54,4.61M,0.37%,0.003722571
7-May-19,101.3,101.8,102.17,100.76,4.58M,-1.13%,-0.011321491
8-May-19,100.3,100.25,101.03,99.86,5.88M,-0.99%,-0.009871668
9-May-19,99.54,99.27,99.94,98.85,6.24M,-0.76%,-0.007577268
10-May-19,101.91,99.76,102.11,99.7,8.74M,2.38%,0.023809524
13-May-19,99.89,100.45,101.15,99.01,7.36M,-1.98%,-0.019821411
14-May-19,100.29,100.14,100.86,99.89,6.35M,0.40%,0.004004405
15-May-19,99.88,100.2,100.36,99.13,6.74M,-0.41%,-0.004088144
16-May-19,101.31,102.83,103.96,100.84,17.12M,1.43%,0.014317181
17-May-19,100.86,100.24,101.95,99.91,12.37M,-0.44%,-0.004441812
20-May-19,101.52,100.39,101.98,100.25,7.19M,0.65%,0.006543724
21-May-19,101.12,101.51,101.65,100.4,6.89M,-0.39%,-0.00394011
22-May-19,102.23,101.6,102.43,101.06,7.34M,1.10%,0.010977057
23-May-19,101.86,101.82,101.93,100.93,6.45M,-0.36%,-0.00361929
24-May-19,102.67,102.18,102.89,102.08,4.48M,0.80%,0.007952091
28-May-19,102.42,102.56,103.57,102.4,10.27M,-0.24%,-0.002434986
29-May-19,102.12,102.11,102.88,101.47,6.52M,-0.29%,-0.002929115
30-May-19,102.19,102.49,103.49,101.91,5.02M,0.07%,0.000685468
31-May-19,101.44,101.35,102.02,100.6,5.93M,-0.73%,-0.00733927
3-Jun-19,101.96,101.63,102.68,101.4,6.61M,0.51%,0.005126183
4-Jun-19,102.56,102.61,102.65,101.44,5.97M,0.59%,0.005884661
5-Jun-19,104.42,102.75,104.78,102.6,6.90M,1.81%,0.018135725
6-Jun-19,105.11,104.49,105.66,104.2,8.06M,0.66%,0.00660793
7-Jun-19,106.06,105.23,106.36,105.05,6.81M,0.90%,0.009038151
10-Jun-19,107.52,106.48,107.78,106.37,6.33M,1.38%,0.013765793
11-Jun-19,107.94,108,108.97,107.75,6.75M,0.39%,0.00390625
12-Jun-19,108.82,107.92,108.91,107.92,4.64M,0.82%,0.008152677
13-Jun-19,108.65,109,109.58,108.17,5.48M,-0.16%,-0.001562213
14-Jun-19,109.07,108.78,109.59,108.46,4.53M,0.39%,0.003865624
17-Jun-19,109.16,109.12,109.55,108.26,4.15M,0.08%,0.000825158
18-Jun-19,109.65,109.8,109.96,108.91,4.91M,0.45%,0.004488824
19-Jun-19,109.62,109.8,109.84,108.87,3.92M,-0.03%,-0.000273598
20-Jun-19,110.32,109.82,110.49,109.28,5.00M,0.64%,0.006385696
21-Jun-19,111.13,110.34,112.19,110.26,13.18M,0.73%,0.007342277
24-Jun-19,111.24,111.49,112.22,111.03,6.03M,0.10%,0.000989832
25-Jun-19,110.72,110.88,111.43,110.4,6.11M,-0.47%,-0.004674577
26-Jun-19,110.16,110.85,111.08,110.1,4.16M,-0.51%,-0.005057803
27-Jun-19,110.1,110.06,110.51,108.86,5.48M,-0.05%,-0.000544662
28-Jun-19,110.49,110.55,111.5,110.24,6.51M,0.35%,0.003542234
1-Jul-19,110.62,111.3,111.97,110.02,5.52M,0.12%,0.001176577
2-Jul-19,111.6,110.83,111.61,110.34,4.06M,0.89%,0.008859157
3-Jul-19,112.32,111.18,112.4,111,3.21M,0.65%,0.006451613
5-Jul-19,111.98,112,112.24,111.21,3.58M,-0.30%,-0.003027066
8-Jul-19,112.72,111.92,112.93,111.7,4.72M,0.66%,0.006608323
9-Jul-19,112.88,112.89,113.38,112.6,5.42M,0.14%,0.001419446
10-Jul-19,112.98,113.12,113.61,112.39,4.58M,0.09%,0.000885897
11-Jul-19,113.92,113.34,113.94,113.02,3.90M,0.83%,0.008320057
12-Jul-19,114.6,114.09,114.77,113.62,3.74M,0.60%,0.005969101
15-Jul-19,114.98,114.67,115.08,114.45,3.35M,0.33%,0.003315881
16-Jul-19,114.76,115.33,115.49,114.04,3.49M,-0.19%,-0.001913376
17-Jul-19,114.6,114.81,115.17,114.2,2.69M,-0.14%,-0.001394214
18-Jul-19,114.72,114.35,114.78,113.74,3.22M,0.10%,0.00104712
19-Jul-19,113.9,115,115.31,113.86,3.80M,-0.71%,-0.007147838
22-Jul-19,112.82,114.1,114.34,112.32,4.52M,-0.95%,-0.009482002
23-Jul-19,112.09,113.12,113.2,111.56,5.75M,-0.65%,-0.006470484
24-Jul-19,112,112.03,112.79,111.57,4.18M,-0.08%,-0.000802926
25-Jul-19,112.22,112.18,112.39,111.66,3.85M,0.20%,0.001964286
26-Jul-19,113.02,112.12,113.33,111.82,4.73M,0.71%,0.007128854
29-Jul-19,112.27,112.84,112.98,111.76,3.75M,-0.66%,-0.006635994
30-Jul-19,112.06,112.06,112.4,111.67,3.04M,-0.19%,-0.001870491
31-Jul-19,110.38,111.91,112.34,109.63,6.21M,-1.50%,-0.014991969
1-Aug-19,109.38,110.32,112.17,109.32,7.45M,-0.91%,-0.009059612
2-Aug-19,109.4,109.74,110.14,108.15,5.66M,0.02%,0.000182849
5-Aug-19,105.82,108,108,105.59,7.57M,-3.27%,-0.032723949
6-Aug-19,107.27,106.19,107.84,105.59,7.02M,1.37%,0.013702514
7-Aug-19,108.2,107.02,108.64,105.92,7.28M,0.87%,0.008669712
8-Aug-19,108.52,108.01,108.84,107.77,4.37M,0.30%,0.002957486
9-Aug-19,107.28,108.06,108.46,106.71,4.19M,-1.14%,-0.011426465
12-Aug-19,105.22,106.72,106.84,104.84,5.87M,-1.92%,-0.019202088
13-Aug-19,107.41,105.25,108.11,104.85,6.72M,2.08%,0.020813534
14-Aug-19,106.2,105.48,108.06,105.14,9.31M,-1.13%,-0.011265245
15-Aug-19,112.69,112.53,113.64,110.16,19.81M,6.11%,0.061111111
16-Aug-19,112.99,114.08,114.93,112.06,10.97M,0.27%,0.002662171
19-Aug-19,113.81,114.35,114.78,113.6,7.18M,0.73%,0.007257279
20-Aug-19,112.05,113.86,114.04,112.01,6.11M,-1.55%,-0.01546437
21-Aug-19,112.02,113.98,114.07,111.88,8.16M,-0.03%,-0.000267738
22-Aug-19,111.91,112.2,112.79,111.35,6.00M,-0.10%,-0.000981968
23-Aug-19,110.83,111.62,111.91,110.13,6.24M,-0.97%,-0.009650612
26-Aug-19,111.99,111.56,112.27,111.22,5.94M,1.05%,0.01046648
27-Aug-19,112.42,112.42,112.81,111.51,5.73M,0.38%,0.003839629
28-Aug-19,112.72,112.28,113.08,111.68,5.38M,0.27%,0.002668564
29-Aug-19,114.08,114.2,114.59,113.31,5.27M,1.21%,0.012065295
30-Aug-19,114.26,115,115.38,113.9,5.71M,0.16%,0.00157784
3-Sep-19,114.64,113.68,115.31,113.49,5.94M,0.33%,0.003325748
4-Sep-19,115.91,115.69,115.96,114.82,5.80M,1.11%,0.011078158
5-Sep-19,115.44,117.67,117.96,115.27,5.83M,-0.41%,-0.00405487
6-Sep-19,114.73,115.44,115.75,114.62,4.35M,-0.62%,-0.006150381
9-Sep-19,116.33,114.5,116.61,114.4,5.97M,1.39%,0.013945786
10-Sep-19,116.05,115.99,116.96,115.48,4.86M,-0.24%,-0.002406946
11-Sep-19,116.02,116,116.7,115.22,5.28M,-0.03%,-0.000258509
12-Sep-19,116.92,116.65,117.07,115.9,4.47M,0.78%,0.007757283
13-Sep-19,117.43,117.16,118.19,116.95,5.64M,0.44%,0.004361957
16-Sep-19,115.57,116.54,117.17,115.38,6.09M,-1.58%,-0.015839223
17-Sep-19,116.51,115.32,116.69,115.25,4.78M,0.81%,0.008133599
18-Sep-19,117.16,116.91,117.23,116.18,4.12M,0.56%,0.00557892
19-Sep-19,117.11,117.4,117.81,116.77,3.40M,-0.04%,-0.000426767
20-Sep-19,116.98,117.35,117.64,116.8,11.59M,-0.11%,-0.001110067
23-Sep-19,117.62,116.61,118.41,116.56,5.91M,0.55%,0.005471021
24-Sep-19,118.4,118.25,119.86,118.01,7.71M,0.66%,0.006631525
25-Sep-19,118.47,118.47,118.72,117.81,5.34M,0.06%,0.000591216
26-Sep-19,118.3,118.8,119.55,118.19,3.99M,-0.14%,-0.001434962
27-Sep-19,118.45,119.21,119.23,117.75,3.44M,0.13%,0.001267963
30-Sep-19,118.68,118.67,119.44,118.56,3.60M,0.19%,0.001941748
1-Oct-19,117.85,118.85,119.11,117.72,3.74M,-0.70%,-0.006993596
2-Oct-19,116.12,117.4,117.55,115.61,6.01M,-1.47%,-0.014679678
3-Oct-19,116.31,115.88,116.8,114.58,5.37M,0.16%,0.001636238
4-Oct-19,118.16,116.4,118.3,116.19,4.87M,1.59%,0.015905769
7-Oct-19,117.23,118.1,118.3,116.88,4.75M,-0.79%,-0.007870684
8-Oct-19,117.58,116.81,118.67,116.66,5.55M,0.30%,0.002985584
9-Oct-19,118.93,118.18,119.3,118.02,3.93M,1.15%,0.011481544
10-Oct-19,119.61,118.9,119.88,118.6,4.44M,0.57%,0.005717649
11-Oct-19,120.24,119.92,120.71,118.72,6.15M,0.53%,0.005267118
14-Oct-19,119.17,119.85,120.46,119.1,4.60M,-0.89%,-0.008898869
15-Oct-19,119.53,119.33,119.99,118.87,5.39M,0.30%,0.003020895
16-Oct-19,119.42,119.31,120.11,119.1,4.14M,-0.09%,-0.000920271
17-Oct-19,119.84,119.67,120.25,119.36,3.96M,0.35%,0.003516999
18-Oct-19,119.14,120.45,120.6,119.13,5.59M,-0.58%,-0.005841121
21-Oct-19,119.74,119.3,119.83,118.82,3.47M,0.50%,0.005036092
22-Oct-19,119.58,119.75,120.17,119.39,2.60M,-0.13%,-0.001336228
23-Oct-19,119.35,119.17,119.85,118.69,2.87M,-0.19%,-0.001923399
24-Oct-19,119.1,119.15,119.57,118.51,2.92M,-0.21%,-0.00209468
25-Oct-19,119.04,119,119.33,118.2,2.56M,-0.05%,-0.000503778
28-Oct-19,119.22,119.25,119.7,118.53,3.40M,0.15%,0.001512097
29-Oct-19,117.15,118.5,118.73,117.08,4.79M,-1.74%,-0.017362859
30-Oct-19,118.1,117.18,118.37,117.05,3.00M,0.81%,0.008109262
31-Oct-19,117.26,117.93,118.28,116.83,4.88M,-0.71%,-0.007112616
1-Nov-19,117.62,117.92,117.97,117.23,3.76M,0.31%,0.003070101
4-Nov-19,117.57,118.4,119.11,117.17,4.65M,-0.04%,-0.000425098
5-Nov-19,118.86,117.68,119.14,117.08,4.22M,1.10%,0.010972187
6-Nov-19,119.5,118.83,119.62,118.71,3.61M,0.54%,0.005384486
7-Nov-19,120.23,120,120.92,119.54,4.44M,0.61%,0.006108787
8-Nov-19,119.44,120.31,120.88,118.94,3.83M,-0.66%,-0.006570739
11-Nov-19,119.04,118.7,119.63,118.28,4.44M,-0.33%,-0.003348962
12-Nov-19,119.12,119.6,120,118.81,5.07M,0.07%,0.000672043
13-Nov-19,120.98,119.16,121.36,118.66,8.05M,1.56%,0.015614506
14-Nov-19,120.65,124.6,125.38,119.51,22.51M,-0.27%,-0.002727724
15-Nov-19,118.87,120.68,121,118.38,10.15M,-1.48%,-0.014753419
18-Nov-19,120.25,118.45,120.87,118.24,6.55M,1.16%,0.011609321
19-Nov-19,119.89,120.11,120.36,119.71,3.72M,-0.30%,-0.002993763
20-Nov-19,119.13,120.21,120.48,118.4,5.08M,-0.63%,-0.006339144
21-Nov-19,119.86,118.83,120,118.67,4.30M,0.61%,0.00612776
22-Nov-19,119.36,120.15,120.3,119.27,3.84M,-0.42%,-0.004171533
25-Nov-19,118.92,120,120.02,117.9,5.88M,-0.37%,-0.003686327
26-Nov-19,119.19,118.96,119.3,118.45,6.29M,0.23%,0.002270434
27-Nov-19,118.76,119.39,119.8,118.73,3.44M,-0.36%,-0.003607685
29-Nov-19,119.09,119.14,119.97,119,3.16M,0.28%,0.002778713
2-Dec-19,119.28,119.15,119.38,117.84,5.68M,0.16%,0.001595432
3-Dec-19,118.67,118.4,118.96,117.77,6.76M,-0.51%,-0.005114017
4-Dec-19,118.69,119.12,119.2,118.3,5.56M,0.02%,0.000168535
5-Dec-19,118.66,118.36,118.78,117.42,4.35M,-0.03%,-0.000252759
6-Dec-19,119.78,119.08,119.8,118.92,4.34M,0.94%,0.009438733
9-Dec-19,119.36,119.57,119.86,119.18,4.84M,-0.35%,-0.003506428
10-Dec-19,119.14,119.35,119.56,119.02,4.28M,-0.18%,-0.001843164
