Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
25-Feb-18,478.5,484.9,484.9,472,123.12K,-0.73%,498.66,496.1281346,496.247178,475.9212421,20.32593592,16.29072682,14.27338182,-16.29072682,0,0.5,-0.007261411
26-Feb-18,472.3,475.5,477.6,466.3,140.73K,-1.30%,496.8133333,493.1496178,496.3537807,476.8435868,19.51019393,13.15789474,10.89495584,-13.15789474,1,0.5,-0.012957158
27-Feb-18,474.7,472.4,480,470.9,263.33K,0.51%,495.3733333,490.8434155,496.8970582,478.2006385,18.69641969,18.42105263,15.95655806,-18.42105263,1,0.5,0.005081516
28-Feb-18,478.7,478,481.5,475.8,143.73K,0.84%,494.22,489.3254886,498.3724259,480.2255587,18.14686723,27.19298246,19.59064327,-27.19298246,1,0.5,0.008426375
1-Mar-18,483.1,478.9,484,477.3,96.40K,0.92%,493.3866667,488.5473025,499.2758726,483.1723638,16.10350883,36.84210526,27.48538012,-36.84210526,1,0.5,0.00919156
4-Mar-18,484.6,485.5,488.6,483.5,100.27K,0.31%,492.5533333,488.0538897,500.3288886,486.0133183,14.31557022,40.13157895,34.72222222,-40.13157895,0,0.5,0.003104947
5-Mar-18,481.7,485.4,485.5,481.2,67.43K,-0.60%,491.2866667,487.2596535,501.0502775,489.0991536,11.95112394,33.77192982,36.91520468,-33.77192982,1,0.5,-0.005984317
6-Mar-18,487.4,481.8,487.9,480.2,177.50K,1.18%,489.8666667,487.2771968,501.5564928,491.1242594,10.43223345,46.27192982,40.05847953,-46.27192982,1,0.5,0.011833091
7-Mar-18,488.9,487.9,492,487,192.05K,0.31%,488.7533333,487.4800472,502.1994312,493.5212269,8.67820427,49.56140351,43.20175439,-49.56140351,1,0.5,0.003077554
8-Mar-18,489.2,489,491.5,487.2,147.12K,0.06%,487.52,487.6950413,501.0245023,494.9560736,6.068428736,50.21929825,48.68421053,-50.21929825,0,0.5,0.000613622
11-Mar-18,485,488,489.5,483,68.78K,-0.86%,486.1133333,487.3581611,498.6464395,495.8865644,2.759875144,44,47.92690058,-44,0,0.5,-0.008585446
12-Mar-18,482.2,485,486.5,480.3,141.05K,-0.58%,484.5866667,486.713391,496.1281346,496.4007438,-0.272609249,37.41176471,43.87702098,-37.41176471,0,0.5,-0.005773196
13-Mar-18,477.5,482.3,482.3,476,155.85K,-0.97%,482.64,485.5617171,493.1496178,496.3881508,-3.238533093,29.70822281,37.03999584,-29.70822281,1,0.5,-0.009746993
14-Mar-18,479,481,481,476.7,149.10K,0.31%,481.72,484.7415025,490.8434155,496.339632,-5.496216456,44.25087108,37.12361953,-44.25087108,1,0.5,0.003141361
15-Mar-18,482.1,482,482.5,478.3,87.53K,0.65%,481.7266667,484.4113147,489.3254886,496.247178,-6.921689399,61.47859922,45.1458977,-61.47859922,1,0.5,0.006471816
18-Mar-18,484.5,482.1,484.8,480,97.47K,0.50%,482.1266667,484.4224003,488.5473025,496.3537807,-7.806478224,70.81712062,58.84886364,-70.81712062,0,0.5,0.00497822
19-Mar-18,481.2,483.1,485.4,478.6,75.97K,-0.68%,482.72,484.0196003,488.0538897,496.8970582,-8.843168446,48.81516588,60.37029524,-48.81516588,0,0.5,-0.006811146
20-Mar-18,481.2,481.2,485.4,478.6,75.97K,0.00%,483.1533333,483.6671503,487.2596535,498.3724259,-11.11277239,33.33333333,50.98853994,-33.33333333,0,0.5,0
21-Mar-18,477,479,481,476,217.90K,-0.87%,483.04,482.8337565,487.2771968,499.2758726,-11.99867584,6.25,29.4661664,-6.25,0,0.5,-0.00872818
22-Mar-18,472.1,477,477.5,470.1,102.31K,-1.03%,482.3066667,481.4920369,487.4800472,500.3288886,-12.84884136,9.132420091,16.23858447,-9.132420091,0,0.5,-0.010272537
25-Mar-18,468.1,474.9,474.9,467.7,104.84K,-0.85%,481.2066667,479.8180323,487.6950413,501.0502775,-13.35523619,1.646090535,5.676170209,-1.646090535,0,0.5,-0.008472781
27-Mar-18,467.2,468.1,470,465.9,706.15K,-0.19%,480.24,478.2407783,487.3581611,501.5564928,-14.19833167,4.980842912,5.253117846,-4.980842912,0,0.5,-0.001922666
28-Mar-18,461.6,467.2,467.9,460.3,152.09K,-1.20%,478.52,476.160681,486.713391,502.1994312,-15.48604021,4.100946372,3.57595994,-4.100946372,1,0.5,-0.011986301
29-Mar-18,462,462.2,464.7,460.5,144.37K,0.09%,476.7266667,474.3905959,485.5617171,501.0245023,-15.46278518,5.448717949,4.843502411,-5.448717949,1,0.5,0.000866551
1-Apr-18,471.7,464.9,474.9,464.9,114.40K,2.10%,475.56,474.0542714,484.7415025,498.6464395,-13.90493703,39.04109589,16.19692007,-39.04109589,1,0.5,0.020995671
2-Apr-18,478.7,474.9,482,473,207.05K,1.48%,475.14,474.6349875,484.4113147,496.1281346,-11.71681991,70.22900763,38.23960716,-70.22900763,0,0.5,0.014839941
3-Apr-18,476,477,483.9,475,99.32K,-0.56%,474.7266667,474.805614,484.4224003,493.1496178,-8.727217417,62.5498008,57.27330144,-62.5498008,1,0.5,-0.005640276
4-Apr-18,476.5,478,480,475.5,82.73K,0.11%,474.66,475.0174123,484.0196003,490.8434155,-6.82381524,64.54183267,65.77354703,-64.54183267,1,0.5,0.00105042
5-Apr-18,477.1,477,478,476.8,118.03K,0.13%,474.5333333,475.2777357,483.6671503,489.3254886,-5.658338335,66.93227092,64.67463479,-66.93227092,0,0.5,0.001259182
8-Apr-18,474.6,479.9,479.9,472.8,106.29K,-0.52%,474.0333333,475.1930188,482.8337565,488.5473025,-5.713546043,56.97211155,62.81540505,-56.97211155,0,0.5,-0.005239992
9-Apr-18,474.5,477,477,473,116.58K,-0.02%,473.3666667,475.1063914,481.4920369,488.0538897,-6.561852788,56.57370518,60.15936255,-56.57370518,1,0.5,-0.000210704
10-Apr-18,480.3,475,485,474,293.51K,1.22%,473.3066667,475.7555925,479.8180323,487.2596535,-7.441621189,79.6812749,64.40903054,-79.6812749,1,0.5,0.012223393
11-Apr-18,486.1,483.2,487.7,480.4,184.18K,1.21%,473.6333333,477.0486434,478.2407783,487.2771968,-9.036418541,94.16058394,76.80518801,-94.16058394,0,0.5,0.012075786
12-Apr-18,486,484.1,490,484,164.85K,-0.02%,474.2333333,478.167563,476.160681,487.4800472,-11.31936622,86.53198653,86.79128179,-86.53198653,0,0.5,-0.000205719
15-Apr-18,484.6,484.8,486.5,482.2,71.34K,-0.29%,475.0666667,478.9716176,474.3905959,487.6950413,-13.30444545,81.81818182,87.5035841,-81.81818182,0,0.5,-0.002880658
16-Apr-18,483.8,484.2,486.9,481,84.53K,-0.17%,476.1133333,479.5751654,474.0542714,487.3581611,-13.30388976,79.12457912,82.49158249,-79.12457912,1,0.5,-0.001650846
17-Apr-18,487.1,485,487.4,484,70.71K,0.68%,477.44,480.5157697,474.6349875,486.713391,-12.07840354,90.23569024,83.72615039,-90.23569024,1,0.5,0.006821
18-Apr-18,490.4,487.5,496,485.7,173.93K,0.68%,479.36,481.7512985,474.805614,485.5617171,-10.7561031,84.22535211,84.52854049,-84.22535211,1,0.5,0.00677479
19-Apr-18,496.1,493,498,492,166.41K,1.16%,481.6333333,483.5448862,475.0174123,484.7415025,-9.724090213,94.25981873,89.57362036,-94.25981873,0,0.5,0.011623165
22-Apr-18,484.1,490,491,483,405.52K,-2.42%,482.46,483.6142754,475.2777357,484.4113147,-9.133578937,44.84126984,74.4421469,-44.84126984,0,0,-0.024188672
23-Apr-18,482.8,484.1,484.5,481.1,284.89K,-0.27%,482.7333333,483.512491,475.1930188,484.4224003,-9.22938157,39.68253968,59.59454275,-39.68253968,0,0,-0.002685396
24-Apr-18,474.3,485,485,473.1,557.15K,-1.76%,482.62,482.3609296,475.1063914,484.0196003,-8.913208873,5.952380952,30.15873016,-5.952380952,0,0.5,-0.017605634
25-Apr-18,473,474.9,477.7,469.4,666.37K,-0.27%,482.3866667,481.1908134,475.7555925,483.6671503,-7.911557764,12.58741259,19.40744441,-12.58741259,1,1,-0.002740881
26-Apr-18,473.3,476.9,477.9,472.8,420.03K,0.06%,482.1333333,480.2044617,477.0486434,482.8337565,-5.785113044,13.63636364,10.72538573,-13.63636364,0,0.5,0.000634249
30-Apr-18,469.6,474.1,475.8,469.2,228.34K,-0.78%,481.8,478.878904,478.167563,481.4920369,-3.324473913,1.388888889,9.204221704,-1.388888889,0,0.5,-0.007817452
3-May-18,464.1,470,470,462.2,196.52K,-1.17%,481.1066667,477.031541,478.9716176,479.8180323,-0.846414674,5.30726257,6.777505032,-5.30726257,0,0.5,-0.011712095
6-May-18,463.6,468,468,463.1,132.24K,-0.11%,479.9933333,475.3525984,479.5751654,478.2407783,1.33438716,3.910614525,3.535588661,-3.910614525,0,0.5,-0.001077354
7-May-18,462.8,464.1,465.7,461.8,276.33K,-0.17%,478.44,473.7835236,480.5157697,476.160681,4.355088765,2.762430939,3.993436011,-2.762430939,0,1,-0.001725626
8-May-18,457.3,463.1,463.1,452.9,376.43K,-1.19%,476.5266667,471.7230831,481.7512985,474.3905959,7.36070267,9.756097561,5.476381008,-9.756097561,1,0.5,-0.011884183
9-May-18,459.4,459,461.5,457,148.36K,0.46%,474.8466667,470.1826978,483.5448862,474.0542714,9.490614836,14.41241685,8.976981784,-14.41241685,1,0.5,0.004592171
10-May-18,464,459.4,465.9,457.6,91.93K,1.00%,473.5266667,469.4098605,483.6142754,474.6349875,8.979287981,24.61197339,16.2601626,-24.61197339,1,0.5,0.010013061
13-May-18,465.5,466,467.9,463,88.84K,0.32%,472.0866667,468.921128,483.512491,474.805614,8.706876984,27.93791574,22.32076866,-27.93791574,1,0.5,0.003232759
14-May-18,466,465.6,468.4,465.1,115.14K,0.11%,470.46,468.555987,482.3609296,475.0174123,7.343517361,29.04656319,27.19881744,-29.04656319,0,0.5,0.001074114
15-May-18,463.2,466,468.9,462.5,64.88K,-0.60%,468.2666667,467.8864886,481.1908134,475.2777357,5.913077691,27.03412073,28.00619989,-27.03412073,0,0.5,-0.006008584
16-May-18,452.6,463.1,463.1,451.1,254.56K,-2.29%,466.1666667,465.9756775,480.2044617,475.1930188,5.011442979,4.424778761,20.16848756,-4.424778761,0,0.5,-0.022884283
17-May-18,444.3,453,455.4,443,225.07K,-1.83%,463.6,463.2662178,478.878904,475.1063914,3.772512607,3.095238095,11.51804586,-3.095238095,0,0.5,-0.018338489
20-May-18,434.6,445,447,433,141.28K,-2.18%,460.9533333,459.6829406,477.031541,475.7555925,1.275948531,3.563474388,3.694497081,-3.563474388,0,0.5,-0.021832095
21-May-18,431.6,433,444.5,428,484.59K,-0.69%,458.1933333,456.172573,475.3525984,477.0486434,-1.696045035,7.214428858,4.624380447,-7.214428858,0,0.5,-0.006902899
22-May-18,425.4,434,436,425,266.23K,-1.44%,455,452.3260014,473.7835236,478.167563,-4.384039406,0.787401575,3.855101607,-0.787401575,1,0.5,-0.014365153
23-May-18,429.7,425.4,433,420.5,233.53K,1.01%,452.34,449.4977512,471.7230831,478.9716176,-7.24853448,18.58585859,8.862563006,-18.58585859,0,0.5,0.010108134
24-May-18,429.4,429.9,430.5,426.5,106.80K,-0.07%,450.0266667,446.9855323,470.1826978,479.5751654,-9.39246767,18.38842975,12.58722997,-18.38842975,1,0.5,-0.000698162
27-May-18,433,429.4,440,429.4,104.66K,0.84%,447.9866667,445.2373408,469.4098605,480.5157697,-11.10590921,25.82644628,20.93357821,-25.82644628,0,0.5,0.008383791
28-May-18,431.9,433,439.8,431.5,282.48K,-0.25%,445.9266667,443.5701732,468.921128,481.7512985,-12.83017056,23.55371901,22.58953168,-23.55371901,0,0.5,-0.002540416
29-May-18,428,432,433,426.5,255.33K,-0.90%,443.9733333,441.6239015,468.555987,483.5448862,-14.98889924,15.49586777,21.62534435,-15.49586777,0,0.5,-0.009029868
