"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 09, 2019","230.47","230.84","232.15","229.91","148.09K","0.17%"
"Sep 08, 2019","230.09","232.24","233.18","229.72","191.91K","-0.12%"
"Sep 05, 2019","230.37","230.00","232.52","229.91","174.73K","0.24%"
"Sep 04, 2019","229.81","233.64","233.64","229.16","416.25K","-1.68%"
"Sep 03, 2019","233.74","234.02","234.49","233.36","191.49K","-0.28%"
"Sep 02, 2019","234.39","234.58","235.51","233.36","273.41K","0.00%"
"Sep 01, 2019","234.39","235.51","235.51","233.64","113.54K","-0.44%"
"Aug 29, 2019","235.42","236.92","236.92","235.23","180.08K","-0.47%"
"Aug 28, 2019","236.54","237.76","238.69","236.26","100.20K","-0.20%"
"Aug 27, 2019","237.01","235.05","237.85","235.05","598.54K","0.92%"
"Aug 26, 2019","234.86","234.86","235.42","234.21","271.44K","-0.04%"
"Aug 25, 2019","234.95","235.14","235.70","234.58","91.86K","-0.08%"
"Aug 22, 2019","235.14","234.95","235.89","234.67","207.44K","0.16%"
"Aug 21, 2019","234.77","234.67","235.51","234.58","190.26K","0.04%"
"Aug 20, 2019","234.67","234.58","235.98","234.39","168.40K","0.12%"
"Aug 19, 2019","234.39","234.67","235.51","234.21","323.98K","-0.12%"
"Aug 18, 2019","234.67","234.39","235.79","234.39","169.14K","0.00%"
"Aug 08, 2019","234.67","234.49","236.73","234.49","295.84K","-0.75%"
"Aug 07, 2019","236.45","235.23","236.54","234.86","262.66K","0.56%"
"Aug 06, 2019","235.14","236.82","236.92","234.77","428.81K","-0.47%"
"Aug 05, 2019","236.26","235.05","236.64","234.95","1.16M","0.40%"
"Aug 04, 2019","235.33","235.89","238.04","235.05","202.10K","-0.04%"
"Aug 01, 2019","235.42","235.33","235.51","234.21","438.23K","0.40%"
"Jul 31, 2019","234.49","234.86","235.89","234.21","381.53K","-0.16%"
"Jul 30, 2019","234.86","234.67","235.89","234.58","399.50K","-0.04%"
"Jul 29, 2019","234.95","234.21","236.17","234.21","553.52K","-0.12%"
"Jul 28, 2019","235.23","233.64","235.61","233.64","238.93K","0.68%"
"Jul 25, 2019","233.64","233.93","234.58","233.36","557.85K","0.00%"
"Jul 24, 2019","233.64","234.58","234.58","232.90","624.79K","-0.28%"
"Jul 23, 2019","234.30","234.39","235.51","233.55","307.52K","1.25%"
"Jul 22, 2019","231.40","236.17","236.82","230.84","537.57K","-2.33%"
"Jul 21, 2019","236.92","236.73","247.66","236.73","188.42K","-0.51%"
"Jul 18, 2019","238.13","238.32","239.25","237.85","169.09K","-0.04%"
"Jul 17, 2019","238.22","238.69","239.07","237.94","137.40K","-0.20%"
"Jul 16, 2019","238.69","236.73","239.91","236.45","199.06K","0.87%"
"Jul 15, 2019","236.64","239.81","241.12","235.79","365.13K","-1.32%"
"Jul 14, 2019","239.81","240.65","242.06","239.25","202.39K","-0.62%"
"Jul 11, 2019","241.31","240.75","241.59","240.75","176.87K","0.04%"
"Jul 10, 2019","241.21","241.21","241.31","240.65","144.36K","0.00%"
"Jul 09, 2019","241.21","241.96","241.96","240.84","190.36K","-0.04%"
"Jul 08, 2019","241.31","241.31","242.99","240.65","342.26K","-0.23%"
"Jul 07, 2019","241.87","242.90","242.90","241.50","105.10K","-0.42%"
"Jul 04, 2019","242.90","242.99","243.64","242.06","138.99K","-0.12%"
"Jul 03, 2019","243.18","242.62","244.77","241.40","323.47K","0.43%"
"Jul 02, 2019","242.15","245.98","245.98","241.68","392.85K","-1.97%"
"Jun 30, 2019","247.01","246.36","248.78","246.26","660.70K","0.30%"
"Jun 27, 2019","246.26","246.26","247.57","245.61","1.06M","0.04%"
"Jun 26, 2019","246.17","243.64","246.64","243.64","428.88K","1.04%"
"Jun 25, 2019","243.64","243.46","244.58","243.36","405.91K","-0.19%"
"Jun 24, 2019","244.11","243.93","244.39","242.99","208.19K","0.23%"
"Jun 23, 2019","243.55","243.64","245.33","242.99","301.31K","-0.04%"
"Jun 20, 2019","243.64","243.93","244.86","242.43","208.26K","0.19%"
"Jun 19, 2019","243.18","241.12","243.93","241.03","283.49K","1.05%"
"Jun 18, 2019","240.65","238.32","242.52","238.32","275.96K","1.33%"
"Jun 17, 2019","237.48","238.50","238.60","236.26","469.56K","-0.43%"
"Jun 16, 2019","238.50","241.03","241.96","238.32","138.12K","-1.05%"
"Jun 13, 2019","241.03","240.65","241.50","240.19","275.65K","0.20%"
"Jun 12, 2019","240.56","241.12","241.50","240.19","192.41K","-0.12%"
"Jun 11, 2019","240.84","240.00","241.50","239.63","589.37K","0.58%"
"Jun 10, 2019","239.44","238.13","239.63","237.38","165.62K","0.91%"
"Jun 09, 2019","237.29","238.13","240.09","236.92","136.26K","-0.35%"
"May 30, 2019","238.13","238.78","239.25","237.48","165.43K","-0.16%"
"May 29, 2019","238.50","235.51","240.28","234.58","170.98K","1.31%"
"May 28, 2019","235.42","231.50","236.54","230.37","533.66K","2.48%"
"May 27, 2019","229.72","231.78","231.78","228.88","880.74K","-0.73%"
"May 26, 2019","231.40","232.24","232.71","230.75","121.69K","-0.28%"
"May 23, 2019","232.06","232.71","233.55","231.78","127.04K","-0.20%"
"May 22, 2019","232.52","233.64","234.30","232.24","259.91K","-0.04%"
"May 21, 2019","232.62","233.18","233.64","231.96","124.77K","-0.24%"
"May 20, 2019","233.18","236.45","237.94","232.43","161.36K","-1.15%"
"May 19, 2019","235.89","233.18","237.20","233.18","173.01K","1.49%"
"May 16, 2019","232.43","233.18","233.18","232.06","189.74K","0.12%"
"May 15, 2019","232.15","237.57","239.07","229.44","477.09K","-2.28%"
"May 14, 2019","237.57","238.50","240.00","236.92","209.47K","-0.31%"
"May 13, 2019","238.32","240.75","242.06","237.38","293.40K","-1.01%"
"May 12, 2019","240.75","241.12","241.59","240.56","81.45K","0.00%"
"May 09, 2019","240.75","241.78","242.06","240.19","135.50K","-0.38%"
