Date,Price,Open,High,Low,Vol.,Change %
7-Apr-19,375.5,385,385.5,375.1,366.94K,-3.20%
8-Apr-19,370.9,376,376,365.7,615.94K,-1.23%
9-Apr-19,362,373,373,360.5,250.76K,-2.40%
10-Apr-19,357.6,363,363,355.5,490.63K,-1.22%
11-Apr-19,367.7,364,369.5,357,204.41K,2.82%
15-Apr-19,377.8,369.8,379.9,369.8,150.82K,2.75%
16-Apr-19,371.7,378.9,380,369.8,184.42K,-1.61%
17-Apr-19,372.9,375.8,375.8,370,118.15K,0.32%
18-Apr-19,368.4,372.5,372.5,367.1,137.05K,-1.21%
21-Apr-19,374,368.5,377.5,368,99.04K,1.52%
23-Apr-19,369.4,372.4,375,368.5,53.90K,-1.23%
24-Apr-19,367.9,374.8,374.8,367.5,152.50K,-0.41%
25-Apr-19,364.2,371,371.7,362.3,118.17K,-1.01%
28-Apr-19,365.2,365,367.7,360,55.87K,0.27%
29-Apr-19,360,365.5,365.5,358.6,149.77K,-1.42%
30-Apr-19,358.7,361,362,358,112.81K,-0.36%
2-May-19,358.2,358.7,362,357,261.04K,-0.14%
5-May-19,362.5,361.9,363.5,360,61.82K,1.20%
6-May-19,359.4,362.1,362.5,358.6,133.78K,-0.86%
7-May-19,354.4,360,361,351,220.07K,-1.39%
8-May-19,354.6,356,358,353.8,99.60K,0.06%
9-May-19,354.1,358.7,358.8,352.9,68.16K,-0.14%
12-May-19,352.4,356,356,352,46.54K,-0.48%
13-May-19,348.1,351.5,352.2,347,195.71K,-1.22%
14-May-19,346.6,350.5,350.5,340.3,162.57K,-0.43%
15-May-19,346.4,346,350,345,93.51K,-0.06%
16-May-19,345.3,346.4,348.6,343.2,63.66K,-0.32%
19-May-19,351.1,348.3,352.9,347.5,94.80K,1.68%
20-May-19,348,350.1,350.1,347.4,39.64K,-0.88%
21-May-19,343.4,347.1,347.9,342.2,106.50K,-1.32%
22-May-19,342.8,344.1,347.8,340.7,71.24K,-0.17%
23-May-19,337.9,349.4,349.4,336.7,180.20K,-1.43%
26-May-19,338.2,340,340,337.1,58.10K,0.09%
27-May-19,341.1,338.6,343.7,338.6,71.81K,0.86%
28-May-19,349.7,341.8,350.3,341.8,180.46K,2.52%
29-May-19,349.8,350,350,347.1,94.20K,0.03%
30-May-19,355.1,350,356,350,163.26K,1.52%
9-Jun-19,356.4,355.1,357.8,355.1,50.61K,0.37%
10-Jun-19,355.8,355.1,359,350.3,123.15K,-0.17%
11-Jun-19,364,357.4,365,357.4,137.97K,2.30%
12-Jun-19,361.3,365,365,360,129.32K,-0.74%
13-Jun-19,361.4,360.3,362.9,359.1,102.17K,0.03%
16-Jun-19,357.9,363.5,364.5,355.6,90.50K,-0.97%
17-Jun-19,357.3,358.1,358.9,356.2,53.72K,-0.17%
18-Jun-19,362.7,358.3,364.4,358,106.46K,1.51%
19-Jun-19,360.4,363.9,365,359,138.03K,-0.63%
20-Jun-19,359.3,360.4,363,358,82.12K,-0.31%
23-Jun-19,360.2,359.6,361.8,359.1,60.83K,0.25%
24-Jun-19,357.9,359.2,360.2,357.4,77.25K,-0.64%
25-Jun-19,358.9,360.9,360.9,357.9,273.39K,0.28%
26-Jun-19,363.1,360,363.9,360,121.22K,1.17%
27-Jun-19,365.1,363.5,365.5,363.1,226.95K,0.55%
30-Jun-19,364.7,365,366,363.2,90.71K,-0.11%
