Date,Price,Open,High,Low,Vol.,Change %
21-Feb-12,55.32,54.99,55.52,54.88,7.50M,1.17%
22-Feb-12,55.18,55.06,55.64,54.68,6.76M,-0.25%
23-Feb-12,54.94,55.15,55.36,54.66,7.20M,-0.43%
24-Feb-12,55.65,55.11,55.74,55,5.00M,1.29%
27-Feb-12,55.73,55.34,56.16,55.27,5.36M,0.14%
28-Feb-12,55.84,55.63,55.95,55.25,4.54M,0.20%
29-Feb-12,55.75,55.99,56.1,55.56,5.59M,-0.16%
1-Mar-12,55.99,55.75,56.1,55.59,4.26M,0.43%
2-Mar-12,55.84,55.96,56.05,55.37,4.41M,-0.27%
5-Mar-12,55.04,55.64,56.08,55.04,4.74M,-1.43%
6-Mar-12,54.46,54.71,55.41,54.12,4.45M,-1.05%
7-Mar-12,54.39,54.36,54.73,54.24,4.47M,-0.13%
8-Mar-12,55.61,54.87,56.03,54.81,4.88M,2.24%
9-Mar-12,55.78,55.75,56.11,55.5,4.74M,0.31%
12-Mar-12,55.02,55.8,55.88,54.95,4.57M,-1.36%
13-Mar-12,55.33,55.12,55.38,54.7,6.50M,0.56%
14-Mar-12,55.78,55.16,55.87,55.04,6.68M,0.81%
15-Mar-12,55.71,55.9,56.25,55.54,4.60M,-0.13%
16-Mar-12,55.59,55.58,55.82,55.4,8.52M,-0.22%
19-Mar-12,56.13,56.31,56.34,55.8,5.35M,0.97%
20-Mar-12,54.78,55.93,56.03,54.73,5.38M,-2.41%
21-Mar-12,53.97,54.99,54.99,53.96,6.25M,-1.48%
22-Mar-12,53.88,53.62,54.21,53.4,7.55M,-0.17%
23-Mar-12,53.66,53.87,53.99,53.52,6.47M,-0.41%
26-Mar-12,55.1,53.89,55.1,53.86,5.10M,2.68%
27-Mar-12,55.43,55.25,55.57,54.18,7.46M,0.60%
28-Mar-12,55.44,55.39,55.96,54.88,5.44M,0.02%
29-Mar-12,58.11,55,58.32,54.98,17.26M,4.82%
30-Mar-12,58.94,57.97,59.43,57.74,10.80M,1.43%
2-Apr-12,59.12,58.94,59.27,58.11,9.11M,0.31%
3-Apr-12,59.4,59.02,59.6,58.72,7.95M,0.47%
4-Apr-12,59.06,59.16,59.28,58.67,4.79M,-0.57%
5-Apr-12,59.01,58.82,59.19,58.6,4.83M,-0.08%
9-Apr-12,58.14,58.52,58.87,58.01,4.76M,-1.47%
10-Apr-12,57.56,57.96,58.33,57.22,5.84M,-1.00%
11-Apr-12,58.02,58.08,58.54,57.85,6.51M,0.80%
12-Apr-12,58.46,58.03,58.62,57.72,4.31M,0.76%
13-Apr-12,58.05,58.39,58.55,57.74,5.66M,-0.70%
16-Apr-12,57.36,58.35,58.35,57.36,6.63M,-1.19%
17-Apr-12,58.1,57.61,58.4,57.3,5.90M,1.29%
18-Apr-12,57.32,57.7,57.7,57.11,6.55M,-1.34%
19-Apr-12,58.71,57.28,59.35,56.99,10.75M,2.42%
20-Apr-12,59.51,59.16,59.71,58.93,8.38M,1.36%
23-Apr-12,59.19,59.04,59.33,58.9,4.47M,-0.54%
24-Apr-12,58.72,59.02,59.2,58.47,5.03M,-0.79%
25-Apr-12,58.87,58.79,59.5,58.67,6.09M,0.26%
26-Apr-12,58.37,56.94,58.67,56.47,9.39M,-0.85%
27-Apr-12,57.91,58.61,58.74,57.59,6.90M,-0.79%
30-Apr-12,56.15,56.95,57.48,55.48,9.87M,-3.04%
1-May-12,57.13,56.27,57.39,56.15,4.89M,1.75%
2-May-12,56.66,56.77,57.42,56.57,5.18M,-0.82%
3-May-12,55.72,56.52,56.52,55.39,7.30M,-1.66%
4-May-12,54.72,55.65,55.73,54.66,5.79M,-1.79%
7-May-12,55.25,54.35,55.43,54.26,4.08M,0.97%
8-May-12,55.82,55.24,55.98,54.91,4.71M,1.03%
9-May-12,55.22,55.37,55.96,54.85,6.64M,-1.07%
10-May-12,55.29,55.56,55.85,55.03,4.03M,0.13%
11-May-12,55.2,55.2,55.64,55.02,3.94M,-0.16%
14-May-12,55.16,54.82,55.57,54.57,4.63M,-0.07%
15-May-12,54.94,55.02,55.7,54.76,5.51M,-0.40%
16-May-12,54.9,55.04,55.29,54.84,4.04M,-0.07%
17-May-12,54.88,55.07,55.46,54.73,5.47M,-0.04%
18-May-12,53.99,54.89,55.34,53.78,6.42M,-1.62%
21-May-12,55.55,54.09,55.6,54.08,4.83M,2.89%
22-May-12,55.72,55.76,56.63,55.5,5.83M,0.31%
23-May-12,55.36,55.45,55.88,54.7,4.67M,-0.65%
24-May-12,56.22,55.03,56.74,55.01,7.19M,1.55%
25-May-12,56.12,56.17,56.56,55.87,4.31M,-0.18%
29-May-12,56.15,56.08,56.25,55.5,5.01M,0.05%
30-May-12,56.17,56,56.47,55.78,4.40M,0.04%
31-May-12,55.77,56.21,56.33,55.46,6.34M,-0.71%
1-Jun-12,55.04,55.22,55.9,54.94,5.70M,-1.31%
4-Jun-12,54.91,54.77,55.35,54.69,5.51M,-0.24%
5-Jun-12,56.04,54.84,56.2,54.72,6.11M,2.06%
6-Jun-12,57.7,56.61,57.7,56.5,6.78M,2.96%
7-Jun-12,57.45,57.8,58.39,57.4,7.25M,-0.43%
8-Jun-12,58,56.84,58.39,56.84,6.41M,0.96%
11-Jun-12,57.46,58.22,58.38,57.4,6.24M,-0.93%
12-Jun-12,57.84,57.47,58.12,57,6.02M,0.66%
13-Jun-12,58.01,57.72,58.53,57.57,6.37M,0.29%
14-Jun-12,59.25,58.17,59.38,57.89,6.65M,2.14%
15-Jun-12,58.9,59.69,59.85,58.51,9.02M,-0.59%
18-Jun-12,59.42,58.79,59.47,58.18,9.72M,0.88%
19-Jun-12,60.26,59.58,60.75,59.37,8.60M,1.41%
20-Jun-12,59.6,59.95,60.23,59.3,4.34M,-1.10%
21-Jun-12,58.34,59.83,60.04,58.27,5.32M,-2.11%
22-Jun-12,59.07,58.5,59.53,58.41,7.50M,1.25%
25-Jun-12,57.69,58.59,59.1,57.65,6.89M,-2.34%
