Date,Price,Open,High,Low,Vol.,Change %,return
15-Aug-18,260.61,261.98,262.69,259.19,2.02M,-1.09%,-1.089266738
16-Aug-18,263.1,261.57,263.75,261.45,2.12M,0.96%,0.955450673
17-Aug-18,262.33,263.55,264.13,261.72,1.97M,-0.29%,-0.292664386
20-Aug-18,262.4,263,263.49,261.57,1.79M,0.03%,0.026683948
21-Aug-18,261.69,261.85,262.52,260.73,1.56M,-0.27%,-0.270579268
22-Aug-18,260.74,261.95,261.95,260.25,2.15M,-0.36%,-0.363024953
23-Aug-18,261.42,261.02,262.56,259.56,1.60M,0.26%,0.260796195
24-Aug-18,264.28,261.75,264.78,261.75,2.24M,1.09%,1.094024941
27-Aug-18,267.08,265,267.45,264.42,2.61M,1.06%,1.059482367
28-Aug-18,268.51,268.54,269.14,267.33,2.60M,0.54%,0.535420099
29-Aug-18,269,268.39,269.32,267.25,2.88M,0.18%,0.182488548
30-Aug-18,268.39,269.46,270.17,268.11,2.98M,-0.23%,-0.226765799
31-Aug-18,268.46,268.28,269.21,267.2,2.96M,0.03%,0.026081449
4-Sep-18,268.51,268,269.41,266.57,2.10M,0.02%,0.018624749
5-Sep-18,267.64,268.56,268.8,266.93,2.23M,-0.32%,-0.324010279
6-Sep-18,269.65,267.6,270.02,266.94,2.56M,0.75%,0.751008818
7-Sep-18,268.28,269.64,271.16,267.51,2.96M,-0.51%,-0.508066011
10-Sep-18,259.73,266.78,266.8,258.75,4.15M,-3.19%,-3.186968839
11-Sep-18,261.04,257.92,261.42,257.48,2.28M,0.50%,0.504369923
12-Sep-18,262.67,261.12,264.49,260.85,2.24M,0.62%,0.624425375
13-Sep-18,265.49,264.16,265.69,263.42,2.73M,1.07%,1.073590437
14-Sep-18,265.31,265.4,266.65,263.28,2.08M,-0.07%,-0.067799164
17-Sep-18,263.87,266.5,266.66,263.41,1.94M,-0.54%,-0.542761298
18-Sep-18,263.29,262.93,264.09,262,3.56M,-0.22%,-0.219805207
19-Sep-18,265.33,264.47,265.61,263.16,2.27M,0.77%,0.774811045
20-Sep-18,266.39,266.08,267.94,266.06,2.09M,0.40%,0.399502506
21-Sep-18,266.67,266.1,267.84,265.85,5.67M,0.11%,0.105109051
24-Sep-18,267.36,267.01,269.53,266.67,2.70M,0.26%,0.258746766
25-Sep-18,263.51,267.3,267.33,263.03,3.79M,-1.44%,-1.440005984
26-Sep-18,262.91,264.5,265.49,262.45,2.24M,-0.23%,-0.227695344
27-Sep-18,264.65,263,265.41,262.93,2.76M,0.66%,0.661823438
28-Sep-18,266.04,264.38,266.19,263.85,2.88M,0.53%,0.525221991
1-Oct-18,269.1,267.25,270.02,267.02,3.31M,1.15%,1.150202977
2-Oct-18,270.63,269,271.44,267.5,2.78M,0.57%,0.568561873
3-Oct-18,270.9,272,272.07,269.77,3.00M,0.10%,0.09976721
4-Oct-18,268.32,271,271.62,267.31,2.19M,-0.95%,-0.952380952
5-Oct-18,269.2,268.65,271,267.95,2.05M,0.33%,0.327966607
8-Oct-18,269.01,268.84,269.65,265.65,1.86M,-0.07%,-0.070579495
9-Oct-18,270.11,269.19,271.95,268.47,2.51M,0.41%,0.408906732
10-Oct-18,263.08,270.6,271.42,262.52,4.27M,-2.60%,-2.602643368
11-Oct-18,257.12,262,264.4,255.78,4.56M,-2.27%,-2.265470579
12-Oct-18,259.61,259.7,261.39,256.86,4.01M,0.97%,0.968419415
15-Oct-18,260.25,260.13,262.44,259.31,3.58M,0.25%,0.246523632
16-Oct-18,272.57,269.69,272.81,265,6.45M,4.73%,4.733909702
17-Oct-18,267.3,270.19,271,265.63,3.99M,-1.93%,-1.933448289
18-Oct-18,266.81,267.35,267.88,263.71,3.13M,-0.18%,-0.183314628
19-Oct-18,265.3,266.62,267.98,263.89,3.34M,-0.57%,-0.565945804
22-Oct-18,262.19,266.75,266.83,260.06,2.62M,-1.17%,-1.172257821
23-Oct-18,264.86,259.72,265.52,259.2,4.08M,1.02%,1.018345475
24-Oct-18,256.32,264.01,265.33,255.93,5.27M,-3.22%,-3.224344937
25-Oct-18,264.24,258.16,265.18,253.37,4.68M,3.09%,3.08988764
26-Oct-18,258.18,261.5,262.4,257.02,4.83M,-2.29%,-2.293369664
29-Oct-18,256.52,259.72,262.04,253.32,3.70M,-0.64%,-0.642962274
30-Oct-18,258.28,256.69,259.69,253.98,4.17M,0.69%,0.686106346
31-Oct-18,261.35,260.87,264.07,260.22,4.23M,1.19%,1.188632492
1-Nov-18,260.93,262.92,264.68,259.76,2.77M,-0.16%,-0.160704037
2-Nov-18,261.01,264.61,266.38,259.56,2.59M,0.03%,0.030659564
5-Nov-18,261.01,262.15,263,260.07,3.29M,0.00%,0
6-Nov-18,263.54,260.7,264.01,260.7,2.58M,0.97%,0.969311521
7-Nov-18,274.63,266.9,276.75,266.9,5.80M,4.21%,4.208089854
8-Nov-18,276.65,276,278,274.7,3.81M,0.74%,0.735535084
9-Nov-18,276.55,276.86,278,274.19,2.90M,-0.04%,-0.036146756
12-Nov-18,272.38,276,277.79,272,3.14M,-1.51%,-1.507864762
13-Nov-18,269.22,272.58,273.6,268.14,2.52M,-1.16%,-1.160143917
14-Nov-18,264.96,269.29,270.52,263.35,3.51M,-1.58%,-1.582349008
15-Nov-18,264.94,264,265.92,260.85,3.66M,-0.01%,-0.007548309
16-Nov-18,271.11,264.99,271.8,264.92,3.86M,2.33%,2.328829169
19-Nov-18,266.05,271.48,272.27,264.18,3.67M,-1.87%,-1.866401092
20-Nov-18,261.5,265.62,266.78,260.4,3.62M,-1.71%,-1.710204849
21-Nov-18,260.55,262.59,264.63,260.45,3.23M,-0.36%,-0.363288719
23-Nov-18,261.62,260,262.94,258.28,1.16M,0.41%,0.410669737
26-Nov-18,266.16,264.62,268.3,263.5,3.88M,1.74%,1.735341335
27-Nov-18,271.15,265.57,271.3,265.03,3.50M,1.87%,1.874812143
28-Nov-18,280.95,272.82,282.4,272.82,5.04M,3.61%,3.614235663
29-Nov-18,282.55,280.43,285.45,280.31,4.18M,0.57%,0.569496352
30-Nov-18,281.36,282.99,283.64,279.07,6.14M,-0.42%,-0.421164396
3-Dec-18,286.33,283,286.53,282.71,4.18M,1.77%,1.766420245
4-Dec-18,278.55,286.15,287.94,276.91,4.64M,-2.72%,-2.717144553
6-Dec-18,276.85,273.02,276.94,265.25,6.69M,-0.61%,-0.610303357
7-Dec-18,269.18,273.76,276.42,267.28,3.51M,-2.77%,-2.770453314
10-Dec-18,266.53,268.59,269,260.23,4.06M,-0.98%,-0.984471357
11-Dec-18,267.22,269.58,271.53,265.67,3.10M,0.26%,0.258882677
12-Dec-18,270.64,271.95,274.56,270.49,3.17M,1.28%,1.279844323
13-Dec-18,272.15,270.86,273.32,269.62,2.35M,0.56%,0.557936743
14-Dec-18,265.02,270.36,270.57,263.71,3.36M,-2.62%,-2.619878743
17-Dec-18,258.07,261.04,262.75,256.73,5.81M,-2.62%,-2.622443589
18-Dec-18,252.97,259.7,259.99,248.2,5.07M,-1.98%,-1.976208006
19-Dec-18,250.31,252.37,256.56,247.59,5.47M,-1.05%,-1.051508084
20-Dec-18,242.44,248.5,249.01,240.05,7.31M,-3.14%,-3.144101314
21-Dec-18,238.34,240.73,247.5,237.45,12.21M,-1.69%,-1.691140076
24-Dec-18,232.94,236.24,237.9,232.56,3.09M,-2.27%,-2.26567089
26-Dec-18,243.35,232.7,243.37,231.81,4.16M,4.47%,4.468961964
27-Dec-18,245.97,239.1,245.97,235.24,4.30M,1.08%,1.076638586
28-Dec-18,246.24,246.71,249.79,244.81,3.31M,0.11%,0.109769484
31-Dec-18,249.12,248.06,250.28,246.94,3.12M,1.17%,1.169590643
