Date,Price,Open,High,Low,Vol.,Change %,trend
10-Apr-12,59.93,60.03,60.39,59.55,9.55M,-0.33%,0
11-Apr-12,59.8,60.29,60.29,59.66,7.75M,-0.22%,1
12-Apr-12,60.14,59.8,60.2,59.56,7.37M,0.57%,0
13-Apr-12,59.77,60,60.21,59.75,6.70M,-0.62%,1
16-Apr-12,60.58,59.94,60.81,59.87,6.84M,1.36%,1
17-Apr-12,61.87,61.11,61.95,61.09,10.68M,2.13%,1
18-Apr-12,62.06,61.55,62.25,61.55,7.96M,0.31%,0
19-Apr-12,61.75,61.96,62.05,61.47,6.38M,-0.50%,1
20-Apr-12,62.45,61.7,62.49,61.66,9.00M,1.13%,0
23-Apr-12,59.54,59.15,60.24,59.13,38.01M,-4.66%,0
24-Apr-12,57.77,59.26,59.35,57.65,30.10M,-2.97%,0
25-Apr-12,57.36,57.91,58.43,57.18,28.01M,-0.71%,1
26-Apr-12,58.95,57.59,59.43,57.57,25.10M,2.77%,1
27-Apr-12,59.03,59.18,59.46,58.94,8.52M,0.14%,0
30-Apr-12,58.91,58.82,58.99,58.53,7.48M,-0.20%,1
1-May-12,59.07,58.95,59.27,58.48,9.92M,0.27%,0
2-May-12,59.01,58.96,59.32,58.82,7.35M,-0.10%,0
3-May-12,58.99,59.2,59.2,58.81,6.89M,-0.03%,0
4-May-12,58.7,58.86,59.18,58.67,6.95M,-0.49%,1
7-May-12,59.19,58.55,59.36,58.55,8.66M,0.83%,0
8-May-12,59.05,59.06,59.37,58.63,10.27M,-0.24%,0
9-May-12,59.03,58.48,59.24,58.27,11.16M,-0.03%,1
10-May-12,59.19,59.35,59.61,59.09,7.74M,0.27%,1
11-May-12,59.42,59.08,59.65,58.8,7.47M,0.39%,0
14-May-12,59.07,59.09,59.55,58.92,6.20M,-0.59%,1
15-May-12,59.35,58.95,59.65,58.95,10.56M,0.47%,0
16-May-12,59.19,59.53,59.66,59.16,10.84M,-0.27%,1
17-May-12,61.68,61.34,62.5,61.25,29.30M,4.21%,1
18-May-12,62.43,61.87,62.63,61.76,16.63M,1.22%,1
21-May-12,63.04,62.38,63.1,62.14,11.15M,0.98%,1
22-May-12,63.73,62.99,63.95,62.9,12.07M,1.09%,1
23-May-12,64.58,63.39,64.69,63.29,15.68M,1.33%,1
24-May-12,65.07,64.71,65.18,64.46,11.30M,0.76%,1
25-May-12,65.31,64.86,65.5,64.8,10.18M,0.37%,1
29-May-12,65.68,65.4,65.76,65.21,10.04M,0.57%,0
30-May-12,65.44,65.41,65.95,65.33,9.98M,-0.37%,1
31-May-12,65.82,65.4,66.66,65.38,16.77M,0.58%,0
1-Jun-12,65.55,65.43,65.88,65.13,15.30M,-0.41%,1
4-Jun-12,65.99,65.9,66.13,65.4,13.88M,0.67%,0
5-Jun-12,65.5,65.74,65.9,65.43,9.34M,-0.74%,1
6-Jun-12,65.93,65.6,65.97,65.46,10.85M,0.66%,0
7-Jun-12,65.87,66.08,66.08,65.78,12.55M,-0.09%,1
8-Jun-12,68.22,66.19,68.23,66.08,18.01M,3.57%,0
11-Jun-12,67.53,68.39,68.48,67.47,10.49M,-1.01%,1
12-Jun-12,67.72,67.67,67.85,67.3,8.99M,0.28%,0
13-Jun-12,67.07,67.59,67.75,66.96,10.75M,-0.96%,1
14-Jun-12,67.63,67.1,67.79,67.09,10.00M,0.83%,1
15-Jun-12,67.75,68.05,68.06,67.59,12.75M,0.18%,1
18-Jun-12,68.12,67.47,68.28,67.43,7.55M,0.55%,0
19-Jun-12,67.81,68.09,68.25,67.7,7.91M,-0.46%,1
20-Jun-12,68.52,67.86,68.54,67.78,8.99M,1.05%,0
21-Jun-12,67.7,68.49,68.66,67.68,9.84M,-1.20%,0
22-Jun-12,67.3,68.09,68.35,67.19,11.41M,-0.59%,1
25-Jun-12,68.18,67.06,68.23,67.06,11.83M,1.31%,1
26-Jun-12,68.58,68.48,68.92,68.25,10.81M,0.59%,1
27-Jun-12,68.59,68.59,68.75,68.26,8.80M,0.01%,0
28-Jun-12,68.3,67.92,68.34,67.49,8.58M,-0.42%,1
29-Jun-12,69.72,68.94,69.72,68.56,10.67M,2.08%,0
2-Jul-12,69.35,69.6,69.95,69.15,10.43M,-0.53%,1
3-Jul-12,70.75,69.65,70.77,69.3,9.39M,2.02%,1
5-Jul-12,71.08,70.37,71.3,70.37,12.44M,0.47%,1
6-Jul-12,71.36,70.73,71.36,70.73,8.01M,0.39%,1
9-Jul-12,71.76,71.26,71.76,71.02,11.15M,0.56%,1
10-Jul-12,72.11,71.93,72.58,71.64,13.33M,0.49%,1
11-Jul-12,72.26,72.13,72.44,71.78,12.24M,0.21%,1
12-Jul-12,72.31,72.07,72.62,71.64,10.20M,0.07%,1
13-Jul-12,73.18,72.27,73.24,72.15,8.18M,1.20%,0
16-Jul-12,72.98,72.92,73.18,72.58,8.08M,-0.27%,1
17-Jul-12,73.1,72.9,73.1,72.31,12.18M,0.16%,0
18-Jul-12,72.85,72.89,73.46,72.72,9.50M,-0.34%,0
19-Jul-12,71.53,72.85,72.86,70.23,16.88M,-1.81%,1
20-Jul-12,72.25,71.46,72.49,71.31,11.05M,1.01%,0
23-Jul-12,71.85,71.62,71.99,71.26,6.66M,-0.55%,1
24-Jul-12,72.14,71.68,72.24,71.45,7.48M,0.40%,0
25-Jul-12,72.08,72.26,72.46,71.87,6.98M,-0.08%,1
26-Jul-12,73.67,72.7,73.95,72.69,8.19M,2.21%,1
27-Jul-12,74.52,73.84,74.8,73.79,10.86M,1.15%,1
30-Jul-12,74.98,74.46,75.24,74.45,9.15M,0.62%,0
31-Jul-12,74.43,74.76,74.98,74.43,8.32M,-0.73%,0
1-Aug-12,73.62,74.7,74.79,73.42,9.70M,-1.09%,1
2-Aug-12,74.05,73.05,74.16,72.94,8.09M,0.58%,1
3-Aug-12,74.55,74.74,74.96,74.25,8.74M,0.68%,0
6-Aug-12,74.28,74.92,74.92,74.28,6.12M,-0.36%,0
7-Aug-12,73.99,74.41,74.6,73.97,7.62M,-0.39%,1
8-Aug-12,74.31,73.65,74.51,73.43,6.58M,0.43%,0
9-Aug-12,73.85,74.28,74.52,73.76,5.28M,-0.62%,0
10-Aug-12,73.68,73.85,74.25,73.43,5.64M,-0.23%,0
13-Aug-12,73.4,73.41,73.69,73.18,6.30M,-0.38%,1
14-Aug-12,74.01,73.84,74.27,73.57,7.24M,0.83%,1
15-Aug-12,74.45,73.91,74.52,73.82,7.78M,0.59%,0
16-Aug-12,72.15,72.58,72.75,71.78,17.82M,-3.09%,0
17-Aug-12,71.99,72.41,72.69,71.84,9.74M,-0.22%,1
20-Aug-12,72.3,72.01,72.41,71.66,5.55M,0.43%,0
21-Aug-12,71.43,72.3,72.34,71.43,7.63M,-1.20%,1
22-Aug-12,71.77,71.35,71.85,71.35,6.66M,0.48%,0
23-Aug-12,71.56,71.8,71.94,71.4,6.01M,-0.29%,1
24-Aug-12,72.11,71.39,72.2,71.35,5.19M,0.77%,1
27-Aug-12,72.5,72.17,72.79,72.08,5.77M,0.54%,0
28-Aug-12,72.41,72.18,72.71,72.16,4.82M,-0.12%,1
29-Aug-12,72.77,72.61,73.02,72.43,4.23M,0.50%,0
30-Aug-12,72.25,72.63,72.75,72.15,5.24M,-0.71%,1
31-Aug-12,72.6,72.59,72.94,72.36,5.89M,0.48%,1
4-Sep-12,73.51,72.77,73.83,72.57,8.52M,1.25%,1
5-Sep-12,73.55,73.86,73.95,73.37,7.96M,0.05%,1
6-Sep-12,74.81,73.98,74.81,73.84,6.51M,1.71%,0
7-Sep-12,73.82,74.7,74.8,73.5,6.62M,-1.32%,0
10-Sep-12,73.51,73.89,74.12,73.5,6.50M,-0.42%,1
11-Sep-12,74.06,73.72,74.42,73.55,5.29M,0.75%,1
12-Sep-12,74.07,74.06,74.35,73.75,4.30M,0.01%,1
13-Sep-12,75.14,73.95,75.19,73.95,7.41M,1.44%,0
14-Sep-12,74.5,74.84,74.99,74.26,8.54M,-0.85%,0
17-Sep-12,73.99,74.36,74.68,73.87,6.85M,-0.68%,0
18-Sep-12,73.95,73.85,74.17,73.68,5.31M,-0.05%,1
19-Sep-12,74.37,74.25,74.63,73.99,5.66M,0.57%,1
20-Sep-12,74.75,74.32,74.82,74.32,4.52M,0.51%,0
21-Sep-12,74.45,74.96,75.09,74.33,10.57M,-0.40%,1
24-Sep-12,74.74,74.2,74.96,74.18,4.41M,0.39%,0
25-Sep-12,74.26,74.91,75.05,74.26,6.42M,-0.64%,0
26-Sep-12,74.19,74.16,74.84,74.14,4.81M,-0.09%,0
27-Sep-12,73.98,74.37,74.5,73.83,5.39M,-0.28%,0
28-Sep-12,73.8,73.86,74.06,73.42,6.02M,-0.24%,1
1-Oct-12,74.05,73.8,74.49,73.8,4.66M,0.34%,0
2-Oct-12,73.75,73.98,74.36,73.63,4.24M,-0.41%,1
3-Oct-12,74.2,74.03,74.75,73.75,8.16M,0.61%,1
4-Oct-12,74.72,74.51,75.01,74.51,5.00M,0.70%,1
5-Oct-12,75.13,74.94,75.5,74.89,5.21M,0.55%,1
8-Oct-12,75.25,75.16,75.55,75.06,4.55M,0.16%,0
9-Oct-12,74.14,75.16,75.38,74.13,8.31M,-1.48%,1
10-Oct-12,75.42,74.65,76.81,74.64,19.37M,1.73%,0
